Kecamatan,Puskesmas,Kasus DBD,rumahts,kepadatan,Cluster,Kerawanan
SukoManunggal,2,3,3170,11087,0,Sedang
Tandes,2,6,3518,8143,1,Tinggi
Asemrowo,1,0,3392,3002,2,Rendah
Benowo,1,7,1017,2851,2,Rendah
Pakal,1,2,573,2628,2,Rendah
Lakarsantri,3,10,2306,3188,2,Rendah
Sambikerep,2,5,1109,2732,2,Rendah
Genteng,2,1,195,14142,0,Sedang
Tegalsari,2,2,2491,22580,0,Sedang
Bubutan,2,12,3923,24913,1,Tinggi
Simokerto,2,0,2535,35690,1,Tinggi
PabeanCantian,1,6,4044,10844,0,Sedang
Semampir,4,8,5282,20627,1,Tinggi
Krembangan,3,6,7049,13545,1,Tinggi
Bulak,1,2,1465,6661,0,Sedang
Kenjeran,4,4,7213,22092,1,Tinggi
Tambaksari,3,25,3024,24686,1,Tinggi
Gubeng,2,1,2799,16587,0,Sedang
Rungkut,2,12,1910,5516,1,Tinggi
TenggilisMejoyo,1,7,2261,10414,0,Sedang
GunungAnyar,1,1,485,6057,0,Sedang
Sukolilo,3,6,3675,4652,1,Tinggi
Mulyorejo,2,23,2377,5997,1,Tinggi
Sawahan,4,5,3180,28492,1,Tinggi
Wonokromo,3,6,3196,18284,1,Tinggi
KarangPilang,1,2,74,7938,0,Sedang
DukuhPakis,1,13,2625,5906,0,Sedang
Wiyung,2,8,1036,5792,1,Tinggi
Gayungan,1,6,142,7037,0,Sedang
Wonocolo,3,0,1120,11538,1,Tinggi
Jambangan,1,8,562,12432,0,Sedang
